n is 783
i     sa    suffix                              lcp   t s  rank   lcp[rank]
114   329   00101001001010010100100101001001010 53    0 0  21     124  
115   537   00101001001010010100100101001001010 53    1 0  317    123  
116   482   00101001001010010100100101001001010 87    1 1  615    122  
117   96    00101001001010010100100101001001010 142   0 0  132    121  
118   640   00101001001010010100100101001001010 140   2 0  430    120  
119   240   00101001001010010100100101001001010 142   0 1  728    119  
120   393   00101001001010010100100101001001010 142   1 0  247    118  
121   7     00101001001010010100100101001001010 231   0 1  545    117  
122   151   00101001001010010100100101001001010 229   0 0  62     116  
123   695   00101001001010010100100101001001010 85    2 0  359    115  
124   295   00101001001010010100100101001001010 87    0 1  657    114  
125   448   00101001001010010100100101001001010 87    1 0  174    113  
126   62    00101001001010010100100101001001010 176   0 0  472    112  
127   206   00101001001010010100100101001001010 174   0 1  770    111  
128   750   00101001001010010100100101001010    30    2 0  292    110  
129   350   00101001001010010100100101001010$01 32    0 1  590    109  
130   558   00101001001010010100100101001010010 32    1 0  107    108  
131   503   00101001001010010100100101001010010 66    1 0  405    107  
132   117   00101001001010010100100101001010010 121   0 1  703    106  
133   661   00101001001010010100100101001010010 119   2 0  222    105  
134   261   00101001001010010100100101001010010 121   0 1  520    104  
135   414   00101001001010010100100101001010010 121   1 0  37     103  
136   28    00101001001010010100100101001010010 210   0 0  334    102  
137   172   00101001001010010100100101001010010 208   0 1  632    101  
138   716   00101001001010010100100101001010010 64    2 0  149    100  
139   316   00101001001010010100100101001010010 66    0 0  447    99   
140   469   00101001001010010100100101001010010 66    1 1  745    98   
141   83    00101001001010010100100101001010010 155   0 0  266    239  
142   627   00101001001010010100100101001010010 153   2 1  564    238  
143   227   00101001001010010100100101001010010 155   0 0  81     237  
144   771   00101001010                         9     2 0  379    236  
145   371   00101001010$01001010010010100100101 11    0 1  677    235  
146   600   001010010100100101001001#0100101001 11    1 0  196    234  
147   579   00101001010010010100100101001010010 24    1 1  494    233  
148   524   00101001010010010100100101001010010 45    1 0  11     232  
149   138   00101001010010010100100101001010010 100   0 0  307    231  
150   682   00101001010010010100100101001010010 98    2 1  605    230  
151   282   00101001010010010100100101001010010 100   0 0  122    229  
152   435   00101001010010010100100101001010010 100   1 0  420    228  
153   49    00101001010010010100100101001010010 189   0 1  718    227  
154   193   00101001010010010100100101001010010 187   0 0  237    226  
155   737   00101001010010010100100101001010010 43    2 1  535    225  
156   337   00101001010010010100100101001010010 45    0 0  52     224  
157   545   00101001010010010100100101001010010 45    1 0  349    223  
158   490   00101001010010010100100101001010010 79    1 1  647    222  
159   104   00101001010010010100100101001010010 134   0 0  164    221  
160   648   00101001010010010100100101001010010 132   2 0  462    220  
161   248   00101001010010010100100101001010010 134   0 1  760    219  
162   401   00101001010010010100100101001010010 134   1 0  281    218  
163   15    00101001010010010100100101001010010 223   0 1  579    217  
164   159   00101001010010010100100101001010010 221   0 0  96     216  
165   703   00101001010010010100100101001010010 77    2 0  394    215  
166   303   00101001010010010100100101001010010 79    0 1  692    214  
167   456   00101001010010010100100101001010010 79    1 0  211    213  
168   70    00101001010010010100100101001010010 168   0 1  509    212  
169   214   00101001010010010100100101001010010 166   0 0  26     211  
170   758   001010010100100101001010            22    2 0  322    210  
171   358   001010010100100101001010$0100101001 24    0 1  620    209  
172   566   00101001010010010100101001001010010 24    1 0  137    208  
173   511   00101001010010010100101001001010010 58    1 0  435    207  
174   125   00101001010010010100101001001010010 113   0 1  733    206  
175   669   00101001010010010100101001001010010 111   2 0  252    205  
176   269   00101001010010010100101001001010010 113   0 1  550    204  
177   422   00101001010010010100101001001010010 113   1 0  67     203  
178   36    00101001010010010100101001001010010 202   0 0  364    202  
179   180   00101001010010010100101001001010010 200   0 1  662    201  
180   724   00101001010010010100101001001010010 56    2 0  179    200  
181   324   00101001010010010100101001001010010 58    0 0  477    199  
182   477   00101001010010010100101001001010010 58    1 1  775    198  
183   91    00101001010010010100101001001010010 147   0 0  297    197  
184   635   00101001010010010100101001001010010 145   2 1  595    196  
185   235   00101001010010010100101001001010010 147   0 0  112    195  
186   2     00101001010010010100101001001010010 147   0 0  410    194  
187   622   01#01001010010010100101001001010010 1     1 1  708    193  
188   779   010                                 2     2 0  227    192  
189   379   010$0100101001001010010010100101001 3     0 1  525    191  
190   619   01001#01001010010010100101001001010 3     1 0  42     190  
191   616   01001001#01001010010010100101001001 5     1 0  339    189  
192   608   0100100101001001#010010100100101001 8     1 1  637    188  
193   587   01001001010010010100101001001010010 16    1 0  154    187  
194   532   01001001010010010100101001001010010 37    1 0  452    186  
195   388   01001001010010010100101001001010010 92    1 1  750    185  
196   146   01001001010010010100101001001010010 234   0 0  271    184  
197   690   01001001010010010100101001001010010 90    2 1  569    183  
198   290   01001001010010010100101001001010010 92    0 0  86     182  
199   443   01001001010010010100101001001010010 92    1 0  384    181  
200   57    01001001010010010100101001001010010 181   0 1  682    180  
201   201   01001001010010010100101001001010010 179   0 0  201    179  
202   745   01001001010010010100101001001010010 35    2 1  499    178  
203   345   01001001010010010100101001001010010 37    0 0  16     177  
204   553   01001001010010010100101001001010010 37    1 0  312    176  
205   498   01001001010010010100101001001010010 71    1 1  610    175  
206   112   01001001010010010100101001001010010 126   0 0  127    174  
207   656   01001001010010010100101001001010010 124   2 0  425    173  
208   256   01001001010010010100101001001010010 126   0 1  723    172  
209   409   01001001010010010100101001001010010 126   1 0  242    171  
210   23    01001001010010010100101001001010010 215   0 1  540    170  
211   167   01001001010010010100101001001010010 213   0 0  57     169  
212   711   01001001010010010100101001001010010 69    2 0  354    168  
213   311   01001001010010010100101001001010010 71    0 1  652    167  
214   464   01001001010010010100101001001010010 71    1 0  169    166  
215   78    01001001010010010100101001001010010 160   0 0  467    165  
216   222   01001001010010010100101001001010010 158   0 1  765    164  
217   766   0100100101001010                    14    2 0  286    163  
218   366   0100100101001010$010010100100101001 16    0 1  584    162  
219   595   01001001010010100100101001001#01001 16    1 0  101    161  
220   574   01001001010010100100101001001010010 29    1 0  399    160  
221   519   01001001010010100100101001001010010 50    1 1  697    159  
222   133   01001001010010100100101001001010010 105   0 0  216    158  
223   677   01001001010010100100101001001010010 103   2 1  514    157  
224   277   01001001010010100100101001001010010 105   0 0  31     156  
225   430   01001001010010100100101001001010010 105   1 0  328    157  
226   44    01001001010010100100101001001010010 194   0 1  626    156  
227   188   01001001010010100100101001001010010 192   0 0  143    155  
228   732   01001001010010100100101001001010010 48    2 0  441    154  
229   332   01001001010010100100101001001010010 50    0 1  739    153  
230   540   01001001010010100100101001001010010 50    1 0  258    152  
231   485   01001001010010100100101001001010010 84    1 1  556    151  
232   99    01001001010010100100101001001010010 139   0 0  73     150  
233   643   01001001010010100100101001001010010 137   2 0  370    149  
234   243   01001001010010100100101001001010010 139   0 1  668    148  
235   396   01001001010010100100101001001010010 139   1 0  185    147  
236   10    01001001010010100100101001001010010 228   0 0  483    146  
237   154   01001001010010100100101001001010010 226   0 1  781    145  
238   698   01001001010010100100101001001010010 82    2 0  304    144  
239   298   01001001010010100100101001001010010 84    0 1  602    143  
240   451   01001001010010100100101001001010010 84    1 0  119    142  
241   65    01001001010010100100101001001010010 173   0 0  417    141  
242   209   01001001010010100100101001001010010 171   0 1  715    140  
243   753   01001001010010100100101001010       27    2 0  234    139  
244   353   01001001010010100100101001010$01001 29    0 1  532    138  
245   561   01001001010010100100101001010010010 29    1 0  49     137  
246   506   01001001010010100100101001010010010 63    1 0  346    136  
247   120   01001001010010100100101001010010010 118   0 1  644    135  
248   664   01001001010010100100101001010010010 116   2 0  161    134  
249   264   01001001010010100100101001010010010 118   0 0  459    133  
250   417   01001001010010100100101001010010010 118   1 1  757    132  
251   31    01001001010010100100101001010010010 207   0 0  278    131  
252   175   01001001010010100100101001010010010 205   0 1  576    130  
253   719   01001001010010100100101001010010010 61    2 0  93     129  
254   319   01001001010010100100101001010010010 63    0 0  391    128  
255   472   01001001010010100100101001010010010 63    1 1  689    127  
256   86    01001001010010100100101001010010010 152   0 0  208    126  
257   630   01001001010010100100101001010010010 150   2 1  506    125  
258   230   01001001010010100100101001010010010 152   0 0  23     124  
259   774   01001010                            6     2 0  319    123  
260   374   01001010$01001010010010100100101001 8     0 1  617    122  
261   611   0100101001001#010010100100101001010 8     1 0  134    121  
262   603   010010100100101001001#0100101001001 13    1 0  432    120  
263   582   01001010010010100100101001010010010 21    1 1  730    119  
264   527   01001010010010100100101001010010010 42    1 0  249    118  
265   383   01001010010010100100101001010010010 97    1 1  547    117  
266   141   01001010010010100100101001010010010 239   0 0  64     116  
267   685   01001010010010100100101001010010010 95    2 0  361    115  
268   285   01001010010010100100101001010010010 97    0 1  659    114  
269   438   01001010010010100100101001010010010 97    1 0  176    113  
270   52    01001010010010100100101001010010010 186   0 0  474    112  
271   196   01001010010010100100101001010010010 184   0 1  772    111  
272   740   01001010010010100100101001010010010 40    2 0  294    110  
273   340   01001010010010100100101001010010010 42    0 1  592    109  
274   548   01001010010010100100101001010010010 42    1 0  109    108  
275   493   01001010010010100100101001010010010 76    1 0  407    107  
276   107   01001010010010100100101001010010010 131   0 1  705    106  
277   651   01001010010010100100101001010010010 129   2 0  224    105  
278   251   01001010010010100100101001010010010 131   0 1  522    104  
279   404   01001010010010100100101001010010010 131   1 0  39     103  
280   18    01001010010010100100101001010010010 220   0 0  336    102  
281   162   01001010010010100100101001010010010 218   0 1  634    101  
282   706   01001010010010100100101001010010010 74    2 0  151    100  
283   306   01001010010010100100101001010010010 76    0 0  449    99   
284   459   01001010010010100100101001010010010 76    1 1  747    98   
285   73    01001010010010100100101001010010010 165   0 0  268    97   
286   217   01001010010010100100101001010010010 163   0 1  566    96   
287   761   010010100100101001010               19    2 0  83     95   
288   361   010010100100101001010$0100101001001 21    0 0  381    94   
289   590   0100101001001010010100100101001001# 21    1 1  679    93   
290   569   01001010010010100101001001010010010 34    1 0  198    92   
291   514   01001010010010100101001001010010010 55    1 1  496    91   
292   128   01001010010010100101001001010010010 110   0 0  13     90   
293   672   01001010010010100101001001010010010 108   2 0  309    89   
294   272   01001010010010100101001001010010010 110   0 1  607    88   
295   425   01001010010010100101001001010010010 110   1 0  124    87   
296   39    01001010010010100101001001010010010 199   0 0  422    86   
297   183   01001010010010100101001001010010010 197   0 1  720    85   
298   727   01001010010010100101001001010010010 53    2 0  239    84   
299   327   01001010010010100101001001010010010 55    0 1  537    83   
300   535   01001010010010100101001001010010010 55    1 0  54     82   
301   480   01001010010010100101001001010010010 89    1 0  351    81   
302   94    01001010010010100101001001010010010 144   0 1  649    80   
303   638   01001010010010100101001001010010010 142   2 0  166    79   
304   238   01001010010010100101001001010010010 144   0 0  464    78   
305   391   01001010010010100101001001010010010 144   1 1  762    77   
306   5     01001010010010100101001001010010010 233   0 0  283    76   
307   149   01001010010010100101001001010010010 231   0 1  581    75   
308   693   01001010010010100101001001010010010 87    2 0  98     74   
309   293   01001010010010100101001001010010010 89    0 0  396    73   
310   446   01001010010010100101001001010010010 89    1 1  694    72   
311   60    01001010010010100101001001010010010 178   0 0  213    71   
312   204   01001010010010100101001001010010010 176   0 1  511    70   
313   748   0100101001001010010100100101001010  32    2 0  28     69   
314   348   0100101001001010010100100101001010$ 34    0 0  324    68   
315   556   01001010010010100101001001010010100 34    1 1  622    67   
316   501   01001010010010100101001001010010100 68    1 0  139    66   
317   115   01001010010010100101001001010010100 123   0 0  437    65   
318   659   01001010010010100101001001010010100 121   2 1  735    64   
319   259   01001010010010100101001001010010100 123   0 0  254    63   
320   412   01001010010010100101001001010010100 123   1 1  552    62   
321   26    01001010010010100101001001010010100 212   0 0  69     61   
322   170   01001010010010100101001001010010100 210   0 0  366    60   
323   714   01001010010010100101001001010010100 66    2 1  664    59   
324   314   01001010010010100101001001010010100 68    0 0  181    58   
325   467   01001010010010100101001001010010100 68    1 0  479    57   
326   81    01001010010010100101001001010010100 157   0 1  777    56   
327   625   01001010010010100101001001010010100 155   2 0  299    55   
328   225   01001010010010100101001001010010100 157   0 1  597    54   
329   769   0100101001010                       11    2 0  114    53   
330   369   0100101001010$010010100100101001001 13    0 0  412    52   
331   598   01001010010100100101001001#01001010 13    1 1  710    51   
332   577   01001010010100100101001001010010100 26    1 0  229    50   
333   522   01001010010100100101001001010010100 47    1 1  527    49   
334   136   01001010010100100101001001010010100 102   0 0  44     48   
335   680   01001010010100100101001001010010100 100   2 0  341    47   
336   280   01001010010100100101001001010010100 102   0 1  639    46   
337   433   01001010010100100101001001010010100 102   1 0  156    45   
338   47    01001010010100100101001001010010100 191   0 0  454    44   
339   191   01001010010100100101001001010010100 189   0 1  752    43   
340   735   01001010010100100101001001010010100 45    2 0  273    42   
341   335   01001010010100100101001001010010100 47    0 1  571    41   
342   543   01001010010100100101001001010010100 47    1 0  88     40   
343   488   01001010010100100101001001010010100 81    1 0  386    39   
344   102   01001010010100100101001001010010100 136   0 1  684    38   
345   646   01001010010100100101001001010010100 134   2 0  203    37   
346   246   01001010010100100101001001010010100 136   0 1  501    36   
347   399   01001010010100100101001001010010100 136   1 0  18     35   
348   13    01001010010100100101001001010010100 225   0 0  314    34   
349   157   01001010010100100101001001010010100 223   0 1  612    33   
350   701   01001010010100100101001001010010100 79    2 0  129    32   
351   301   01001010010100100101001001010010100 81    0 0  427    31   
352   454   01001010010100100101001001010010100 81    1 1  725    30   
353   68    01001010010100100101001001010010100 170   0 0  244    29   
354   212   01001010010100100101001001010010100 168   0 1  542    28   
355   756   01001010010100100101001010          24    2 0  59     27   
356   356   01001010010100100101001010$01001010 26    0 0  356    26   
357   564   01001010010100100101001010010010100 26    1 1  654    25   
358   509   01001010010100100101001010010010100 60    1 0  171    24   
359   123   01001010010100100101001010010010100 115   0 0  469    23   
360   667   01001010010100100101001010010010100 113   2 1  767    22   
361   267   01001010010100100101001010010010100 115   0 0  288    21   
362   420   01001010010100100101001010010010100 115   1 1  586    20   
363   34    01001010010100100101001010010010100 204   0 0  103    19   
364   178   01001010010100100101001010010010100 202   0 0  401    18   
365   722   01001010010100100101001010010010100 58    2 1  699    17   
366   322   01001010010100100101001010010010100 60    0 0  218    16   
367   475   01001010010100100101001010010010100 60    1 1  516    15   
368   89    01001010010100100101001010010010100 149   0 0  33     14   
369   633   01001010010100100101001010010010100 147   2 0  330    13   
370   233   01001010010100100101001010010010100 149   0 1  628    12   
371   0     01001010010100100101001010010010100 149   0 0  145    11   
372   777   01010                               3     2 0  443    10   
373   377   01010$01001010010010100100101001010 5     0 1  741    9    
374   614   0101001001#010010100100101001010010 5     1 0  260    8    
375   606   010100100101001001#0100101001001010 10    1 1  558    7    
376   585   01010010010100100101001010010010100 18    1 0  75     6    
377   530   01010010010100100101001010010010100 39    1 0  373    5    
378   386   01010010010100100101001010010010100 94    1 1  671    4    
379   144   01010010010100100101001010010010100 236   0 0  189    3    
380   688   01010010010100100101001010010010100 92    2 1  487    2    
381   288   01010010010100100101001010010010100 94    0 0  4      1    
382   441   01010010010100100101001010010010100 94    1 $  2      0    
383   55    01010010010100100101001010010010100 183   0 0  265    97   
384   199   01010010010100100101001010010010100 181   0 1  563    96   
385   743   01010010010100100101001010010010100 37    2 0  80     95   
386   343   01010010010100100101001010010010100 39    0 0  378    94   
387   551   01010010010100100101001010010010100 39    1 1  676    93   
388   496   01010010010100100101001010010010100 73    1 0  195    92   
389   110   01010010010100100101001010010010100 128   0 1  493    91   
390   654   01010010010100100101001010010010100 126   2 0  10     90   
391   254   01010010010100100101001010010010100 128   0 0  305    144  
392   407   01010010010100100101001010010010100 128   1 1  603    143  
393   21    01010010010100100101001010010010100 217   0 0  120    142  
394   165   01010010010100100101001010010010100 215   0 0  418    141  
395   709   01010010010100100101001010010010100 71    2 1  716    140  
396   309   01010010010100100101001010010010100 73    0 0  235    139  
397   462   01010010010100100101001010010010100 73    1 1  533    138  
398   76    01010010010100100101001010010010100 162   0 0  50     137  
399   220   01010010010100100101001010010010100 160   0 0  347    136  
400   764   010100100101001010                  16    2 1  645    135  
401   364   010100100101001010$0100101001001010 18    0 0  162    134  
402   593   0101001001010010100100101001001#010 18    1 0  460    133  
403   572   01010010010100101001001010010010100 31    1 1  758    132  
404   517   01010010010100101001001010010010100 52    1 0  279    131  
405   131   01010010010100101001001010010010100 107   0 1  577    130  
406   675   01010010010100101001001010010010100 105   2 0  94     129  
407   275   01010010010100101001001010010010100 107   0 0  392    128  
408   428   01010010010100101001001010010010100 107   1 1  690    127  
409   42    01010010010100101001001010010010100 196   0 0  209    126  
410   186   01010010010100101001001010010010100 194   0 1  507    125  
411   730   01010010010100101001001010010010100 50    2 0  24     124  
412   330   01010010010100101001001010010010100 52    0 0  320    123  
413   538   01010010010100101001001010010010100 52    1 1  618    122  
414   483   01010010010100101001001010010010100 86    1 0  135    121  
415   97    01010010010100101001001010010010100 141   0 0  433    120  
416   641   01010010010100101001001010010010100 139   2 1  731    119  
417   241   01010010010100101001001010010010100 141   0 0  250    118  
418   394   01010010010100101001001010010010100 141   1 1  548    117  
419   8     01010010010100101001001010010010100 230   0 0  65     116  
420   152   01010010010100101001001010010010100 228   0 0  362    115  
421   696   01010010010100101001001010010010100 84    2 1  660    114  
422   296   01010010010100101001001010010010100 86    0 0  177    113  
423   449   01010010010100101001001010010010100 86    1 0  475    112  
424   63    01010010010100101001001010010010100 175   0 1  773    111  
425   207   01010010010100101001001010010010100 173   0 0  295    110  
426   751   0101001001010010100100101001010     29    2 1  593    109  
427   351   0101001001010010100100101001010$010 31    0 0  110    108  
428   559   01010010010100101001001010010100100 31    1 0  408    107  
429   504   01010010010100101001001010010100100 65    1 1  706    106  
430   118   01010010010100101001001010010100100 120   0 0  225    105  
431   662   01010010010100101001001010010100100 118   2 1  523    104  
432   262   01010010010100101001001010010100100 120   0 0  40     103  
433   415   01010010010100101001001010010100100 120   1 0  337    102  
434   29    01010010010100101001001010010100100 209   0 1  635    101  
435   173   01010010010100101001001010010100100 207   0 0  152    100  
436   717   01010010010100101001001010010100100 63    2 0  450    99   
437   317   01010010010100101001001010010100100 65    0 1  748    98   
438   470   01010010010100101001001010010100100 65    1 0  269    97   
439   84    01010010010100101001001010010100100 154   0 1  567    96   
440   628   01010010010100101001001010010100100 152   2 0  84     95   
441   228   01010010010100101001001010010100100 154   0 0  382    94   
442   772   0101001010                          8     2 1  680    93   
443   372   0101001010$010010100100101001001010 10    0 0  199    92   
444   601   01010010100100101001001#01001010010 10    1 1  497    91   
445   580   01010010100100101001001010010100100 23    1 0  14     90   
446   525   01010010100100101001001010010100100 44    1 0  310    89   
447   139   01010010100100101001001010010100100 99    0 1  608    88   
448   683   01010010100100101001001010010100100 97    2 0  125    87   
449   283   01010010100100101001001010010100100 99    0 0  423    86   
450   436   01010010100100101001001010010100100 99    1 1  721    85   
451   50    01010010100100101001001010010100100 188   0 0  240    84   
452   194   01010010100100101001001010010100100 186   0 1  538    83   
453   738   01010010100100101001001010010100100 42    2 0  55     82   
454   338   01010010100100101001001010010100100 44    0 0  352    81   
455   546   01010010100100101001001010010100100 44    1 1  650    80   
456   491   01010010100100101001001010010100100 78    1 0  167    79   
457   105   01010010100100101001001010010100100 133   0 0  465    78   
458   649   01010010100100101001001010010100100 131   2 1  763    77   
459   249   01010010100100101001001010010100100 133   0 0  284    76   
460   402   01010010100100101001001010010100100 133   1 1  582    75   
461   16    01010010100100101001001010010100100 222   0 0  99     74   
462   160   01010010100100101001001010010100100 220   0 0  397    73   
463   704   01010010100100101001001010010100100 76    2 1  695    72   
464   304   01010010100100101001001010010100100 78    0 0  214    71   
465   457   01010010100100101001001010010100100 78    1 1  512    70   
466   71    01010010100100101001001010010100100 167   0 0  29     69   
467   215   01010010100100101001001010010100100 165   0 0  325    68   
468   759   01010010100100101001010             21    2 1  623    67   
469   359   01010010100100101001010$01001010010 23    0 0  140    66   
470   567   01010010100100101001010010010100100 23    1 0  438    65   
471   512   01010010100100101001010010010100100 57    1 1  736    64   
472   126   01010010100100101001010010010100100 112   0 0  255    63   
473   670   01010010100100101001010010010100100 110   2 1  553    62   
474   270   01010010100100101001010010010100100 112   0 0  70     61   
475   423   01010010100100101001010010010100100 112   1 0  367    60   
476   37    01010010100100101001010010010100100 201   0 1  665    59   
477   181   01010010100100101001010010010100100 199   0 0  182    58   
478   725   01010010100100101001010010010100100 55    2 0  480    57   
479   325   01010010100100101001010010010100100 57    0 1  778    56   
480   478   01010010100100101001010010010100100 57    1 0  301    89   
481   92    01010010100100101001010010010100100 146   0 1  599    88   
482   636   01010010100100101001010010010100100 144   2 0  116    87   
483   236   01010010100100101001010010010100100 146   0 0  414    86   
484   3     01010010100100101001010010010100100 146   0 1  712    85   
485   623   1#010010100100101001010010010100101 0     1 0  231    84   
486   780   10                                  1     2 1  529    83   
487   380   10$01001010010010100100101001010010 2     0 0  46     82   
488   620   1001#010010100100101001010010010100 2     1 0  343    81   
489   617   1001001#010010100100101001010010010 4     1 1  641    80   
490   609   100100101001001#0100101001001010010 7     1 0  158    79   
491   588   10010010100100101001010010010100100 15    1 0  456    78   
492   533   10010010100100101001010010010100100 36    1 1  754    77   
493   389   10010010100100101001010010010100100 91    1 0  275    76   
494   147   10010010100100101001010010010100100 233   0 1  573    75   
495   691   10010010100100101001010010010100100 89    2 0  90     74   
496   291   10010010100100101001010010010100100 91    0 0  388    73   
497   444   10010010100100101001010010010100100 91    1 1  686    72   
498   58    10010010100100101001010010010100100 180   0 0  205    71   
499   202   10010010100100101001010010010100100 178   0 1  503    70   
